CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2138,723
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2137,727
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:TYP_HDG:TYP_HDG,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2147,741
F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables,2139,901
F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables,2141,909
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Advances that are not loans:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Advances that are not loans,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Credit card debt:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Credit card debt,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables:MN_DBTR_INDCTR:MN_DBTR_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables,2144,954
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2137,1019
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,2145,1082
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2137,1019
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,2145,1082
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2137,1019
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,2145,1082
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2137,1019
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2145,1082
