ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
1,EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,,+,,
2,EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,,+,,
3,EBA_ER_ER1,EBA_ER_EBA_x9,2,EBA_ER_EBA_x0,,+,,
4,EBA_ER_ER1,EBA_ER_EBA_x1,3,EBA_ER_EBA_x7,=,+,,
5,EBA_ER_ER1,EBA_ER_EBA_x2,4,EBA_ER_EBA_x1,,+,,
6,EBA_SC_SC2,EBA_SC_EBA_x3,4,EBA_SC_EBA_x1,,,,
7,EBA_ER_ER1,EBA_ER_EBA_x7,2,EBA_ER_EBA_x0,=,+,,
8,EBA_SC_SC2,EBA_SC_EBA_x6,2,EBA_SC_EBA_x0,,,,
9,EBA_ER_ER1,EBA_ER_EBA_x5,4,EBA_ER_EBA_x4,,+,,
10,EBA_SC_SC2,EBA_SC_EBA_x7,2,EBA_SC_EBA_x0,,,,
11,EBA_SC_SC2,EBA_SC_EBA_x1,3,EBA_SC_EBA_x7,,,,
12,EBA_ER_ER1,EBA_ER_EBA_x3,4,EBA_ER_EBA_x1,,+,,
13,EBA_SC_SC2,EBA_SC_EBA_x2,4,EBA_SC_EBA_x1,,,,
14,EBA_SC_SC2,EBA_SC_EBA_x4,4,EBA_SC_EBA_x1,,,,
15,EBA_ER_ER1,EBA_ER_EBA_x4,3,EBA_ER_EBA_x7,=,+,,
16,EBA_SC_SC2,EBA_SC_EBA_x5,3,EBA_SC_EBA_x7,,,,
17,EBA_ER_ER1,EBA_ER_EBA_x8,4,EBA_ER_EBA_x4,,+,,
18,EBA_ER_ER1,EBA_ER_EBA_x10,4,EBA_ER_EBA_x4,,+,,
19,EBA_LQ_LQ1,EBA_LQ_EBA_x49,2,EBA_LQ_EBA_x0,,+,,
20,EBA_LQ_LQ1,EBA_LQ_EBA_x103,2,EBA_LQ_EBA_x0,,+,,
21,EBA_LQ_LQ2,EBA_LQ_EBA_x155,2,EBA_LQ_EBA_x0,,,,
22,EBA_LQ_LQ2,EBA_LQ_EBA_x106,2,EBA_LQ_EBA_x0,,,,
23,EBA_LQ_LQ2,EBA_LQ_EBA_x78,3,EBA_LQ_EBA_x155,,,,
24,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x48,2,EBA_ZZ_EBA_x232,,,,
25,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x49,2,EBA_ZZ_EBA_x232,,,,
26,EBA_LQ_LQ2,EBA_LQ_EBA_x110,4,EBA_LQ_EBA_x154,,,,
27,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x46,2,EBA_ZZ_EBA_x232,,,,
28,EBA_LQ_LQ2,EBA_LQ_EBA_x116,5,EBA_LQ_EBA_x108,,,,
29,EBA_LQ_LQ2,EBA_LQ_EBA_x113,4,EBA_LQ_EBA_x112,,,,
30,EBA_LQ_LQ2,EBA_LQ_EBA_x195,3,EBA_LQ_EBA_x155,,,,
31,EBA_LQ_LQ2,EBA_LQ_EBA_x115,5,EBA_LQ_EBA_x107,,,,
32,EBA_LQ_LQ2,EBA_LQ_EBA_x108,4,EBA_LQ_EBA_x195,,,,
33,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x50,2,EBA_ZZ_EBA_x232,,,,
34,EBA_LQ_LQ2,EBA_LQ_EBA_x107,4,EBA_LQ_EBA_x195,,,,
35,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x233,2,EBA_ZZ_EBA_x51,,,,
36,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x231,2,EBA_ZZ_EBA_x45,,,,
37,EBA_LQ_LQ2,EBA_LQ_EBA_x109,5,EBA_LQ_EBA_x110,,,,
38,EBA_LQ_LQ2,EBA_LQ_EBA_x154,3,EBA_LQ_EBA_x106,,,,
39,EBA_LQ_LQ2,EBA_LQ_EBA_x114,5,EBA_LQ_EBA_x110,,,,
40,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x230,2,EBA_ZZ_EBA_x45,,,,
41,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x326,2,EBA_ZZ_EBA_x51,,,,
42,EBA_LQ_LQ2,EBA_LQ_EBA_x112,3,EBA_LQ_EBA_x106,,,,
43,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1078,2,EBA_ZZ_EBA_x0,,+,,
44,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x1419,2,EBA_ZZ_EBA_x0,,+,,
45,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x1420,2,EBA_ZZ_EBA_x0,,+,,
